MonikaMaslen,2017-09-13 11:55,3,3,@WPICPE is getting ready for @xcelenergy in Denver Colorado pic.twitter.com/d2DIFe5pLO,,@WPICPE @xcelenergy,,9.07996097649373E+017,https://twitter.com/MonikaMaslen/status/907996097649373185
seconsumer,2017-09-13 11:21,0,1,"Quick break at #SGCCMM17 ... At 10:30, we'll be joined by @ComEd @xcelenergy @cpsenergy & @TFCutilities to discuss utility e-commerce!",,@ComEd @xcelenergy @cpsenergy @TFCutilities,#SGCCMM17,9.0798755592847E+017,https://twitter.com/seconsumer/status/907987555928469505
Ulteig,2017-09-13 10:49,0,0,Thanks @xcelenergy for the chance to sponsor a hole at your 2017 SHERCO Classic w/proceeds donated to @UnitedWay #LiveUnited #JoinTheFight pic.twitter.com/wZ4WKb6fYy,,@xcelenergy @UnitedWay,#LiveUnited #JoinTheFight,9.07979622612181E+017,https://twitter.com/Ulteig/status/907979622612180992
ECOStates,2017-09-12 15:15,0,0,"Corporations discuss Env. Innovations @NebraskaDEQ @CaterpillarInc , Honeywell International @ATT @SouthernCompany @xcelenergy #ECOSFallMtg17",,@NebraskaDEQ @CaterpillarInc @ATT @SouthernCompany @xcelenergy,#ECOSFallMtg17,9.07683985861468E+017,https://twitter.com/ECOStates/status/907683985861468160
e2org,2017-09-12 14:55,0,1,". @xcelenergy ’s resource plan can grow #Colorado ’s economy, create jobs. https://www. bizjournals.com/denver/news/20 17/09/07/viewpoint-xcel-s-resource-plan-can-grow-colorado-s.html … via @denbizjournal #CleanJobsCO #coleg",,@xcelenergy @denbizjournal,#Colorado #CleanJobsCO #coleg,9.07678954584076E+017,https://twitter.com/e2org/status/907678954584076288
sealsystemsinc,2017-09-12 13:28,0,3,Congrats to @xcelenergy for winning 2017 Excellence in Operation award! #SAP4UTL pic.twitter.com/sjl7wqME61,,@xcelenergy,#SAP4UTL,9.07657227166663E+017,https://twitter.com/sealsystemsinc/status/907657227166662657
CoriDavis,2017-09-12 13:26,0,0,Saw 12+ trucks each from @oncor and @xcelenergy passing through my FL Panhandle town this morning on the way to help. Thank you all! <3,,@oncor @xcelenergy,,9.07656685438816E+017,https://twitter.com/CoriDavis/status/907656685438816256
CThreeGroup,2017-09-12 13:17,0,0,Xcel Energy Workers From Colorado Head To Florida @XcelEnergy #Electricity #Irma #ThankYou http:// denver.cbslocal.com/2017/09/11/xce l-energy-workers-from-colorado-head-to-florida/ …,,@XcelEnergy,#Electricity #Irma #ThankYou,9.07654406002368E+017,https://twitter.com/CThreeGroup/status/907654406002368513
Utilligent,2017-09-12 11:37,0,1,.Congrats to Dave Harkness and Mike Lamb at @xcelenergy for their well-deserved award this morning at @sapforutilities conference in SoCal. https:// twitter.com/sapforutilitie s/status/907625451882921985 …,,@xcelenergy @sapforutilities,,9.07629229667266E+017,https://twitter.com/Utilligent/status/907629229667266560
FRuland13,2017-09-12 11:33,0,1,Last award for operational excellence at #SAP4UTL goes to @xcelenergy . Congrats! pic.twitter.com/woZytYbWMQ,,@xcelenergy,#SAP4UTL,9.07628365091238E+017,https://twitter.com/FRuland13/status/907628365091237888
sapforutilities,2017-09-12 11:22,1,5,Congrats to @xcelenergy for winning the excellence in operations #SAP4UTL award!!,,@xcelenergy,#SAP4UTL,9.07625451882922E+017,https://twitter.com/sapforutilities/status/907625451882921985
rebatebus,2017-09-12 10:55,0,0,REBATES GALORE! #energyefficiency programs @focusonenergy @MassSave @ConEdison @DomEnergyVA @xcelenergy @PGE4Me @DTE_Energy save on #LED pic.twitter.com/izEgfiLaI2,,@focusonenergy @MassSave @ConEdison @DomEnergyVA @xcelenergy @PGE4Me @DTE_Energy,#energyefficiency #LED,9.07618747816583E+017,https://twitter.com/rebatebus/status/907618747816583168
jcrpete,2017-09-12 10:46,0,0,Wouldn't that be Legendary?! @XcelEnergy doesn't have Cabins... Need to look riverside...,,@XcelEnergy,,9.07616510335648E+017,https://twitter.com/jcrpete/status/907616510335647744
ElleryTV,2017-09-12 09:33,0,2,"Word from @xcelenergy : 70 employees to start work in FL tomorrow for #Irma recovery. Crews from MN, ND, SD, and WI to work w/Tampa Electric.",,@xcelenergy,#Irma,9.07598081860018E+017,https://twitter.com/ElleryTV/status/907598081860018176
Bulldognets,2017-09-11 23:21,0,0,Thank you @xcelenergy https:// twitter.com/xcelenergy/sta tus/907263737085747201 …,,@xcelenergy,,9.07444014701564E+017,https://twitter.com/Bulldognets/status/907444014701563904
WndlB,2017-09-11 21:34,0,0,Not a problem-- @xcelenergy is one the way!,,@xcelenergy,,9.07417195625501E+017,https://twitter.com/WndlB/status/907417195625500672
TmSouthFlorida,2017-09-11 19:58,1,7,Thank you @xcelenergy is on the way here to FL. Stay safe!! Thank you!! #HurricaneIrma #Irma https:// twitter.com/xcelenergy/sta tus/907263737085747201 …,,@xcelenergy,#HurricaneIrma #Irma,9.07392902912979E+017,https://twitter.com/TmSouthFlorida/status/907392902912978945
billy_umsted,2017-09-11 18:24,0,2,Nice changes,,,,9.07369181997179E+017,https://twitter.com/billy_umsted/status/907369181997178880
BCCCC,2017-09-11 14:45,0,0,". @xcelenergy plans to retire two coal-fired plants in Pueblo, increase #renewables via @denverpost http:// dpo.st/2xg41bJ",,@xcelenergy @denverpost,#renewables,9.0731405681773E+017,https://twitter.com/BCCCC/status/907314056817729537
taradactylbird,2017-09-11 13:49,0,0,Thank you!,,,,9.07300068151185E+017,https://twitter.com/taradactylbird/status/907300068151185408
